,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
222,solarlat36.33lon-103.55,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,NM,36.33,-103.55,POINT (-103.55 36.33),30.0,31.0,31.0,25.2210451457,25.5131162869,p31,rto3,solarlat36.33lon-103.55NM
223,solarlat36.83lon-108.55,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,NM,36.83,-108.55,POINT (-108.55 36.83),30.0,31.0,31.0,25.2210451457,25.5131162869,p31,rto3,solarlat36.83lon-108.55NM
224,solarlat36.83lon-106.55,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,NM,36.83,-106.55,POINT (-106.55 36.83),30.0,31.0,31.0,25.2210451457,25.5131162869,p31,rto3,solarlat36.83lon-106.55NM
225,solarlat36.83lon-104.55,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,NM,36.83,-104.55,POINT (-104.55 36.83),30.0,31.0,31.0,25.2210451457,25.5131162869,p31,rto3,solarlat36.83lon-104.55NM
226,windlat32.72lon-116.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,32.72,-116.42,POINT (-116.42 32.72),10.0,11.0,11.0,6.12809377995,1.05918222311,p11,rto4,windlat32.72lon-116.42CA
227,windlat33.04lon-116.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,33.04,-116.92,POINT (-116.92 33.04),10.0,11.0,11.0,6.12809377995,1.05918222311,p11,rto4,windlat33.04lon-116.92CA
228,solarlat33.04lon-116.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,33.04,-116.42,POINT (-116.42 33.04),10.0,11.0,11.0,6.12809377995,1.05918222311,p11,rto4,solarlat33.04lon-116.42CA
229,windlat33.04lon-114.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,33.04,-114.92,POINT (-114.92 33.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat33.04lon-114.92CA
230,windlat33.54lon-117.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,33.54,-117.42,POINT (-117.42 33.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat33.54lon-117.42CA
231,windlat33.54lon-115.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,33.54,-115.42,POINT (-115.42 33.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat33.54lon-115.42CA
232,windlat33.86lon-116.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,33.86,-116.42,POINT (-116.42 33.86),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat33.86lon-116.42CA
233,windlat34.04lon-116.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.04,-116.92,POINT (-116.92 34.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat34.04lon-116.92CA
234,windlat34.04lon-114.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.04,-114.92,POINT (-114.92 34.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat34.04lon-114.92CA
235,windlat34.54lon-117.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-117.92,POINT (-117.92 34.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat34.54lon-117.92CA
236,windlat34.54lon-116.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-116.42,POINT (-116.42 34.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat34.54lon-116.42CA
237,windlat34.54lon-114.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-114.42,POINT (-114.42 34.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat34.54lon-114.42CA
238,windlat35.0lon-118.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.0,-118.42,POINT (-118.42 35),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.0lon-118.42CA
239,windlat35.04lon-118.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-118.42,POINT (-118.42 35.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.04lon-118.42CA
240,windlat35.04lon-116.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-116.92,POINT (-116.92 35.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.04lon-116.92CA
241,windlat35.04lon-114.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-114.92,POINT (-114.92 35.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.04lon-114.92CA
242,windlat35.34lon-118.26,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.34,-118.26,POINT (-118.26 35.34),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.34lon-118.26CA
243,windlat35.54lon-118.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.54,-118.42,POINT (-118.42 35.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.54lon-118.42CA
244,windlat35.54lon-116.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.54,-116.42,POINT (-116.42 35.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat35.54lon-116.42CA
245,windlat36.04lon-119.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,36.04,-119.42,POINT (-119.42 36.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat36.04lon-119.42CA
246,windlat36.04lon-117.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,36.04,-117.42,POINT (-117.42 36.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat36.04lon-117.42CA
247,windlat36.54lon-118.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,36.54,-118.42,POINT (-118.42 36.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat36.54lon-118.42CA
248,windlat37.04lon-117.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,37.04,-117.92,POINT (-117.92 37.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,windlat37.04lon-117.92CA
249,solarlat33.54lon-116.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,33.54,-116.92,POINT (-116.92 33.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat33.54lon-116.92CA
250,solarlat33.54lon-114.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,33.54,-114.92,POINT (-114.92 33.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat33.54lon-114.92CA
251,solarlat34.04lon-116.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,34.04,-116.92,POINT (-116.92 34.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat34.04lon-116.92CA
252,solarlat34.04lon-114.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,34.04,-114.92,POINT (-114.92 34.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat34.04lon-114.92CA
253,solarlat34.54lon-118.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-118.92,POINT (-118.92 34.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat34.54lon-118.92CA
254,solarlat34.54lon-116.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-116.92,POINT (-116.92 34.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat34.54lon-116.92CA
255,solarlat34.54lon-114.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-114.92,POINT (-114.92 34.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat34.54lon-114.92CA
256,solarlat35.04lon-119.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-119.42,POINT (-119.42 35.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat35.04lon-119.42CA
257,solarlat35.04lon-117.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-117.42,POINT (-117.42 35.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat35.04lon-117.42CA
258,solarlat35.04lon-115.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-115.42,POINT (-115.42 35.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat35.04lon-115.42CA
259,solarlat35.54lon-118.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,35.54,-118.92,POINT (-118.92 35.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat35.54lon-118.92CA
260,solarlat35.54lon-116.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,35.54,-116.92,POINT (-116.92 35.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat35.54lon-116.92CA
261,solarlat36.04lon-117.92,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,36.04,-117.92,POINT (-117.92 36.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat36.04lon-117.92CA
262,solarlat36.54lon-119.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,36.54,-119.42,POINT (-119.42 36.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat36.54lon-119.42CA
263,solarlat36.54lon-117.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,36.54,-117.42,POINT (-117.42 36.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat36.54lon-117.42CA
264,solarlat37.04lon-118.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,37.04,-118.42,POINT (-118.42 37.04),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat37.04lon-118.42CA
265,solarlat38.54lon-119.42,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,CA,38.54,-119.42,POINT (-119.42 38.54),9.0,10.0,10.0,29.1722901383,16.6512953217,p10,rto4,solarlat38.54lon-119.42CA
266,windlat33.83lon-109.32,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,AZ,33.83,-109.32,POINT (-109.32 33.83),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,windlat33.83lon-109.32AZ
267,windlat34.83lon-109.32,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,AZ,34.83,-109.32,POINT (-109.32 34.83),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,windlat34.83lon-109.32AZ
268,windlat35.33lon-109.82,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,AZ,35.33,-109.82,POINT (-109.82 35.33),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,windlat35.33lon-109.82AZ
269,windlat35.83lon-109.82,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,AZ,35.83,-109.82,POINT (-109.82 35.83),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,windlat35.83lon-109.82AZ
270,windlat36.33lon-109.82,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,AZ,36.33,-109.82,POINT (-109.82 36.33),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,windlat36.33lon-109.82AZ
271,solarlat34.83lon-109.32,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,AZ,34.83,-109.32,POINT (-109.32 34.83),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,solarlat34.83lon-109.32AZ
272,solarlat35.33lon-109.32,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,AZ,35.33,-109.32,POINT (-109.32 35.33),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,solarlat35.33lon-109.32AZ
273,solarlat36.33lon-109.82,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,AZ,36.33,-109.82,POINT (-109.82 36.33),28.0,29.0,29.0,9.30563526494,2.88315460242,p29,rto3,solarlat36.33lon-109.82AZ
274,windlat34.04lon-120.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.04,-120.42,POINT (-120.42 34.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat34.04lon-120.42CA
275,windlat34.54lon-119.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,34.54,-119.92,POINT (-119.92 34.54),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat34.54lon-119.92CA
276,windlat35.04lon-120.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.04,-120.42,POINT (-120.42 35.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat35.04lon-120.42CA
277,windlat35.54lon-120.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,35.54,-120.42,POINT (-120.42 35.54),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat35.54lon-120.42CA
278,windlat36.04lon-121.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,36.04,-121.42,POINT (-121.42 36.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat36.04lon-121.42CA
279,windlat36.54lon-120.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,36.54,-120.42,POINT (-120.42 36.54),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat36.54lon-120.42CA
280,windlat37.04lon-121.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,37.04,-121.92,POINT (-121.92 37.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat37.04lon-121.92CA
281,windlat37.04lon-119.92,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,37.04,-119.92,POINT (-119.92 37.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat37.04lon-119.92CA
282,windlat37.54lon-121.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,37.54,-121.42,POINT (-121.42 37.54),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat37.54lon-121.42CA
283,windlat37.54lon-119.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,37.54,-119.42,POINT (-119.42 37.54),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat37.54lon-119.42CA
284,windlat37.7lon-121.61,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,37.7,-121.61,POINT (-121.61 37.7),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat37.7lon-121.61CA
285,windlat38.04lon-121.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,38.04,-121.42,POINT (-121.42 38.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat38.04lon-121.42CA
286,windlat38.04lon-119.42,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,CA,38.04,-119.42,POINT (-119.42 38.04),8.0,9.0,9.0,45.2932178082,19.6629761024,p9,rto4,windlat38.04lon-119.42CA
